name,cuisines,aggregate_rating,rating_text,votes,average_cost_for_two,price_range,locality,city,latitude,longitude,has_online_delivery,has_table_booking,American,Andhra,Arabian,Asian,Awadhi,BBQ,Bakery,Beverages,Biryani,Burger,Burmese,Cafe,Chinese,Coffee,Continental,Desserts,European,Fast Food,Gujarati,Healthy Food,Hyderabadi,Ice Cream,Italian,Japanese,Juices,Lebanese,Mediterranean,Mexican,Modern Indian,Momos,Mughlai,North Indian,Parsi,Pizza,Rajasthani,Rolls,Salad,Sandwich,Seafood,South Indian,Street Food,Sushi,Tex-Mex,Thai,Tibetan,Vietnamese,places,cuisine_count,place_type
Conçu,"Cafe, Bakery, Italian, Desserts",4.8,Excellent,2770,1000,3,Jubilee Hills,Hyderabad,17.437113344100002,78.39991673829999,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,4,None
Natural Ice Cream,"Ice Cream, Desserts",4.8,Excellent,2397,200,1,Jubilee Hills,Hyderabad,17.4386381532,78.3991583437,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,2,None
B-Dubs,American,4.8,Excellent,2540,1600,3,Jubilee Hills,Hyderabad,17.4333804348,78.4050893784,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,1,None
Ocean's Basket,"North Indian, Chinese, Seafood, South Indian, Continental",4.8,Excellent,612,1900,3,Banjara Hills,Hyderabad,17.4264908254,78.437997736,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,None,5,None
Churrolto,"Desserts, Cafe, Italian",4.8,Excellent,2021,1200,3,Film Nagar,Hyderabad,17.4165996326,78.4106093645,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,3,None
AB's - Absolute Barbecues,"European, Mediterranean, North Indian",4.8,Excellent,1063,1200,3,Hitech City,Hyderabad,17.4340166661,78.38662605729999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inorbit Mall,3,Mall
China Bistro,"Chinese, Thai, Asian, Japanese",4.8,Excellent,884,1600,3,Kondapur,Hyderabad,17.4548495369,78.3643342182,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,4,None
AB's - Absolute Barbecues,"European, Mediterranean, North Indian",4.8,Excellent,10753,1200,3,Jubilee Hills,Hyderabad,17.438335559400002,78.3978172392,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,3,None
Feranoz Pâtisserie & Cafè,"Cafe, Bakery",4.7,Excellent,347,600,2,Banjara Hills,Hyderabad,17.419375746500002,78.4421625361,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,2,None
The Devil's Cut,"North Indian, Chinese, Continental",4.7,Excelente,399,1550,3,Jubilee Hills,Hyderabad,17.4256415,78.414312,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,3,None
Dhaba Estd 1986 Delhi,North Indian,4.7,Excelente,3525,1800,3,Kondapur,Hyderabad,17.4581371207,78.3731771261,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,1,None
Nimrah Cafe And Bakery,Bakery,4.7,Excelente,1226,250,1,Charminar,Hyderabad,17.3610995399,78.4744134173,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,1,None
Trio-La Patisserie,"Bakery, Desserts",4.7,Excelente,222,500,2,Bowenpally,Secunderabad,17.4639662874,78.4897274897,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,2,None
Trio-La Patisserie,"Bakery, Desserts",4.7,Excellent,222,500,2,Bowenpally,Secunderabad,17.4639662874,78.4897274897,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,2,None
Zero40 Brewing,"American, Pizza, North Indian",4.7,Excellent,4905,2400,4,Jubilee Hills,Hyderabad,17.4355898017,78.4117989242,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,None,3,None
Feu Dessert Bar,"Cafe, Desserts, Coffee, Sandwich, Salad",4.7,Excellent,356,1100,3,Jubilee Hills,Hyderabad,17.423955,78.412882,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,None,5,None
Ohri's Jiva Imperia,"North Indian, Chinese, South Indian, Bakery",4.7,Excellent,1950,1100,3,Begumpet,Hyderabad,17.4357033561,78.4576398879,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,None,4,None
Paradise Biryani,"Biryani, North Indian, Mughlai",4.7,Excellent,14207,800,2,Paradise Circle,Secunderabad,17.4419161137,78.4871029481,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,3,None
Ohri's Gufaa,North Indian,4.7,Excellent,1871,1000,3,Basheer Bagh,Hyderabad,17.404901614,78.4765786305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,1,None
The Roastery Coffee House,"Cafe, American, Continental, Italian",4.7,Excellent,3860,800,2,Banjara Hills,Hyderabad,17.4234339538,78.4316090494,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,4,None
